underlying_process,method,alpha_level,M,KS,CvM,AD,time_seconds
HawkesPL,khmaladze,0.01,500,11,10,10,61.679871000000276
HawkesPL,khmaladze,0.05,500,28,29,36,56.41122549993452
HawkesExp,naive,0.01,500,0,0,0,51.18809319997672
HawkesPL,naive,0.01,500,1,0,17,53.04519899992738
HawkesExp,naive,0.05,500,0,0,0,51.24285299994517
HawkesPL,naive,0.05,500,6,3,94,53.8627915000543
HawkesExp,naive,0.2,500,0,1,10,51.65171500004362
HawkesPL,naive,0.2,500,49,32,195,53.50487770000473
HawkesExp,khmaladze,0.01,500,3,7,15,53.44139420008287
HawkesPL,khmaladze,0.01,500,10,8,2,55.2446012001019
HawkesExp,khmaladze,0.05,500,30,28,38,53.346238799975254
HawkesPL,khmaladze,0.05,500,26,26,25,55.45606390002649
HawkesExp,khmaladze,0.2,500,103,100,82,53.31279250001535
HawkesPL,khmaladze,0.2,500,92,87,83,55.44628309994005
